de;ru;pt;ko;zhs;zht;en;it;fr;es;ja
Konstrukt;Конструкция;Constructo;기계;组构体;組構體;Construct;Costrutto;Construction;Constructo;構築物
Wald;Лес;Floresta;숲;树林;樹林;Forest;Foresta;Forêt;Bosque;森
Schaf;Овца;Ovelha;양;绵羊;綿羊;Sheep;Pecora;Mouton;Oveja;羊
Wüste;Пустыня;Deserto;사막;沙漠;沙漠;Desert;Deserto;Désert;Desierto;砂漠
Bahamut;Бахамут;Bahamut;바하무트;巴哈姆特;巴哈姆特;Bahamut;Bahamut;Bahamut;Bahamut;バハムート
Sceada;Дрейк;Dragonete;새끼용;龙兽;龍獸;Drake;Draghetto;Drakôn;Draco;ドレイク
UNKNOWN;Пилот;UNKNOWN;조종사;驾手;駕手;Pilot;Pilota;Pilote;Piloto;操縦士
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Serra’s Realm;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Troll;Тролль;Trol;트롤;巨魔;巨魔;Troll;Troll;Troll;Trol;トロール
Freyalise;UNKNOWN;UNKNOWN;UNKNOWN;妃雅丽兹;UNKNOWN;Freyalise;Freyalise;Freyalise;Freyalise;フレイアリーズ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Orgg;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Ochse;Бык;Boi;황소;牛;牛;Ox;Bue;Bovidé;Buey;雄牛
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Blood;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Oger;Огр;Ogro;오우거;食人魔;食人魔;Ogre;Ogre;Ogre;Ogro;オーガ
Auge;Глаз;Olho;눈알;UNKNOWN;UNKNOWN;Eye;Occhio;Œil;Ojo;眼
Karn;Карн;Karn;카른;卡恩;卡恩;Karn;Karn;Karn;Karn;カーン
Liliana;Лилиана;Liliana;릴리아나;莉莲娜;莉蓮娜;Liliana;Liliana;Liliana;Liliana;リリアナ
Ältester;Старейшина;Ancião;장로;长老;長老;Elder;Antico;Ancêtre;Anciano;エルダー
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Sculpture;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Undercity;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;Ниндзя;UNKNOWN;닌자;UNKNOWN;忍者;Ninja;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Ravnica;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Ravnica;Ravnica;Ravnica;Rávnica;ラヴニカ
Späher;Разведчик;Batedor;정찰병;斥候;斥候;Scout;Esploratore;Éclaireur;Explorador;スカウト
Kyneth;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kyneth;Kyneth;Kyneth;Kyneth;キネス
Samut;Самут;Samut;사무트;撒姆特;撒姆特;Samut;Samut;Samut;Samut;サムト
Fabacin;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Fabacin;Fabacin;Fabacin;Fábacin;ファバシン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Primarch;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Hintergrund;Предыстория;Antecedente;배경;身世;身世;Background;Background;Passé;Trasfondo;背景
Hyäne;Гиена;UNKNOWN;하이에나;鬣狗;UNKNOWN;Hyena;Iena;Hyène;Hiena;ハイエナ
Segovia;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Segovia;Segovia;Ségovie;Segovia;セゴビア
Lektion;Урок;Lição;수업;课程;課程;Lesson;Lezione;Leçon;Lección;講義
Tasha;Таша;Tasha;타샤;塔莎;塔莎;Tasha;Tasha;Tasha;Tasha;ターシャ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Comet;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Krake;Кракен;Kraken;크라켄;巨海兽;巨海獸;Kraken;Kraken;Kraken;Kraken;クラーケン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Astartes;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Servo;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Nissa;Нисса;Nissa;니사;妮莎;妮莎;Nissa;Nissa;Nissa;Nissa;ニッサ
Turm;Башня;Torre;UNKNOWN;塔;UNKNOWN;Tower;Torre;Tour;Torre;塔
Eichhörnchen;Белка;Esquilo;다람쥐;松鼠;松鼠;Squirrel;Scoiattolo;Écureuil;Ardilla;リス
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Necron;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Bringer;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Verwerter;Переработчик;Processador;처리자;噬体;噬體;Processor;Metabolizzatore;Convertisseur;Metabolizador;昇華者
Azgol;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Azgol;Azgol;Azgol;Azgol;アズゴル
Affe;Мартышка;Macaco;원숭이;猴;猴;Monkey;Scimmia;Singe;Primate;猿
Baumhirte;Лесовик;Ent;나무인간;树妖;樹妖;Treefolk;Silvantropo;Sylvin;Pueblo-arbóreo;ツリーフォーク
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Caribou;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schattenmoor;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Shadowmoor;UNKNOWN;Sombrelande;UNKNOWN;シャドウムーア
Barbar;Варвар;UNKNOWN;야만인;野蛮人;野蠻人;Barbarian;Barbaro;Barbare;Bárbaro;バーバリアン
Seltsamkeit;Диковина;Bizarro;위어드;怪奇;怪奇;Weird;Bizzarria;Anomalie;Extraño;奇魔
Gesinde;Простолюдин;Plebeu;소작농;UNKNOWN;平民;Peasant;Popolano;Paysan;Plebeyo;農民
Fisch;Рыба;Peixe;어류;鱼;魚;Fish;Pesce;Poisson;Pez;魚
UNKNOWN;Виашино;UNKNOWN;비아시노;凡尔西诺;凡爾西諾;Viashino;UNKNOWN;UNKNOWN;UNKNOWN;ヴィーアシーノ
Nachtmahr;Кошмар;Pesadelo;나이트메어;梦魇;夢魘;Nightmare;Incubo;Cauchemar;Pesadilla;ナイトメア
Wolf;Волк;Lobo;늑대;狼;狼;Wolf;Lupo;Loup;Lobo;狼
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Licid;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Tetravite;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Garruk;Гаррук;Garruk;개럭;贾路;賈路;Garruk;Garruk;Garruk;Garruk;ガラク
Halbling;Полурослик;Pequenino;하플링;半身人;UNKNOWN;Halfling;UNKNOWN;Halfelin;Mediano;ハーフリング
Einhorn;Единорог;Unicórnio;유니콘;独角兽;獨角獸;Unicorn;Unicorno;Licorne;Unicornio;ユニコーン
Harpyie;Гарпия;Harpia;하피;哈痞;哈痞;Harpy;Arpia;Harpie;Arpía;ハーピー
UNKNOWN;Хомарид;Homárida;호마리드;荷马利;荷馬利;Homarid;UNKNOWN;Homaride;Homárido;ホマリッド
Nephilim;UNKNOWN;Nefilim;UNKNOWN;巨神灵;UNKNOWN;Nephilim;Nephilim;Nephilim;Nefilim;ネフィリム
Vettel;Карга;Bruxa;노파;巫婆;巫婆;Hag;Strega;Mégère;Saga;ハッグ
Hippogryph;Гиппогриф;Hipogrifo;히포그리프;骏鹰;駿鷹;Hippogriff;Ippogrifo;Hippogriffe;Hipogrifo;ヒポグリフ
Dschinn;Джинн;Gênio;지니;巨灵;巨靈;Djinn;Genio;Djinn;Djinn;ジン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Oyster;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Calix;Каликс;Calix;칼릭스;凯利斯;凱利斯;Calix;Calix;Calix;Cálix;ケイリクス
Skorpion;Скорпион;Escorpião;전갈;蝎子;蠍子;Scorpion;Scorpione;Scorpion;Escorpión;蠍
Juggernaut;Джаггернаут;Juggernaut;공성차;攻城巨车;攻城巨車;Juggernaut;Juggernaut;Djaggernaut;Destructor;巨大戦車
Yeti;Йети;Yeti;설인;雪怪;雪怪;Yeti;Yeti;Yeti;Yeti;イエティ
Kirin;Кирин;Kirin;기린;麒麟;麒麟;Kirin;Kirin;Kirin;Kirin;麒麟
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Urza;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Urzas;Урзы;de Urza;우르자의;克撒的;克撒的;Urza’s;di Urza;D’urza;De-urza;ウルザの
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Karsus;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Kavu;Каву;Kavu;카부;卡甫;卡甫;Kavu;Kavu;Kavru;Kavu;カヴー
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Carrier;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Gremlin;Гремлин;Gremlin;그렘린;怪灵;怪靈;Gremlin;Gremlin;Gremlin;Gremlin;グレムリン
Mirrodin;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Mirrodin;Mirrodin;Mirrodin;Mirrodín;ミラディン
Maulwurf;Крот;Toupeira;두더지;鼹鼠;鼴鼠;Mole;Talpa;Taupe;Topo;モグラ
Windgrace;UNKNOWN;Windgrace;UNKNOWN;UNKNOWN;UNKNOWN;Windgrace;Windgrace;Vent des vertus;Windgrace;ウィンドグレイス
Sirene;Сирена;Sirena;사이렌;塞连;塞連;Siren;Sirena;Sirène;Sirena;セイレーン
Arlinn;Арлинн;Arlinn;아를린;雅琳;雅琳;Arlinn;Arlinn;Arlinn;Arlinn;アーリン
Ebene;Равнина;Planície;들;平原;平原;Plains;Pianura;Plaine;Llanura;平地
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Contraption;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Sarkhan;Сархан;Sarkhan;사르칸;萨坎;薩坎;Sarkhan;Sarkhan;Sarkhan;Sarkhan;サルカン
Serra;Серра;Serra;세라;撒拉;撒拉;Serra;Serra;Serra;Serra;セラ
Ellywick;Элливик;Ellywick;엘리윅;艾利薇;艾利薇;Ellywick;Ellywick;Ellywick;Ellywick;エリーウィック
Arkhos;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Arkhos;Arkhos;Arkhos;Arkhos;アーコス
Zyklop;Циклоп;Ciclope;키클롭스;独眼巨人;獨眼巨人;Cyclops;Ciclope;Cyclope;Cíclope;サイクロプス
Xenagos;Ксенаг;Xenagos;제나고스;谢纳戈斯;謝納戈斯;Xenagos;Xenagos;Xénagos;Xenagos;ゼナゴス
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Gamer;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Klasse;Класс;Classe;직업;职业;職業;Class;Classe;Classe;Clase;クラス
Tyvar;Тивар;Tyvar;타이바르;泰瓦;泰瓦;Tyvar;Tyvar;Tyvar;Tyvar;タイヴァー
Jaya;Джайя;Jaya;자야;雅亚;雅亞;Jaya;Jaya;Jaya;Jaya;ヤヤ
Innistrad;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Innistrad;Innistrad;Innistrad;Innistrad;イニストラード
Iquatana;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Iquatana;Iquatana;Iquatana;Iquatana;イクァンターナ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Orb;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Ork;Орк;Orc;오크;半兽人;半獸人;Orc;Orco;Orque;Orco;オーク
Bogenschütze;Лучник;Arqueiro;궁수;UNKNOWN;弓箭手;Archer;Arciere;UNKNOWN;Arquero;射手
Saheeli;Сахили;Saheeli;사힐리;莎希莉;莎希莉;Saheeli;Saheeli;Saheeli;Saheeli;サヒーリ
Schamane;Шаман;Xamã;주술사;祭师;祭師;Shaman;Sciamano;Shamane;Chamán;シャーマン
UNKNOWN;Бард;UNKNOWN;음유시인;诗人;詩人;Bard;UNKNOWN;Barde;Bardo;バード
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Camarid;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schatten;Тень;Sombra;그림자;阴魂;陰魂;Shade;Ombra;Ombre;Sombra;シェイド
Thrull;Трулл;Thrul;스럴;索尔兽;索爾獸;Thrull;Thrull;Srâne;Thrull;スラル
Pflanze;Растение;Planta;식물;植物;植物;Plant;Pianta;Plante;Planta;植物
Gebirge;Гора;Montanha;산;山脉;山脈;Mountain;Montagna;Montagne;Montaña;山
UNKNOWN;Гит;UNKNOWN;기스;吉斯人;UNKNOWN;Gith;UNKNOWN;UNKNOWN;UNKNOWN;ギス
Phoenix;Феникс;Fênix;불사조;凤凰;鳳凰;Phoenix;Fenice;Phénix;Fénix;フェニックス
Vryn;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Vryn;Vryn;Vryn;Vryn;ヴリン
Koth;Кос;Koth;UNKNOWN;寇斯;寇斯;Koth;Koth;Koth;Koth;コス
Mönch;Монах;Monge;수도승;修行僧;UNKNOWN;Monk;Monaco;Moine;Monje;モンク
Kaya;Кайя;Kaya;카야;卡娅;卡婭;Kaya;Kaya;Kaya;Kaya;ケイヤ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Thalakos;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Muraganda;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Muraganda;Muraganda;Muraganda;Muraganda;ムラガンダ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Attraction;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Basri;Базри;Basri;바스리;巴席利;巴席利;Basri;Basri;Basri;Basri;バスリ
Kleriker;Священник;Clérigo;성직자;僧侣;僧侶;Cleric;Chierico;Clerc;Clérigo;クレリック
Huatli;Уатли;Huatli;화틀리;华特莉;華特莉;Huatli;Huatli;Huatli;Huatli;ファートリ
Yanggu;Янгу;Yanggu;양구;旸谷;暘谷;Yanggu;Yanggu;Yanggu;Yanggu;ヤングー
Schnecke;Слизень;Lesma;민달팽이;蛞蝓;蛞蝓;Slug;Lumaca;Limace;Babosa;ナメクジ
Halbgott;Полубог;Semideus;반신;半神;半神;Demigod;Semidio;Demi-dieu;Semidiós;亜神
Hydra;Гидра;Hidra;히드라;多头龙;多頭龍;Hydra;Idra;Hydre;Hidra;ハイドラ
Mantikor;Мантикора;Manticora;만티코어;翼狮;翼獅;Manticore;Manticora;Manticore;Mantícora;マンティコア
Ausrüstung;Снаряжение;Equipamento;장비;武具;武具;Equipment;Equipaggiamento;Équipement;Equipo;装備品
Schwamm;Губка;Esponja;UNKNOWN;UNKNOWN;UNKNOWN;Sponge;Spugna;Éponge;Esponja;スポンジ
Vampir;Вампир;Vampiro;흡혈귀;吸血鬼;吸血鬼;Vampire;Vampiro;Vampire;Vampiro;吸血鬼
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Robot;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Metathran;UNKNOWN;Métathran;Metathrán;メタスラン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Deserter;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Verbündeter;Союзник;UNKNOWN;동맹;伙伴;UNKNOWN;Ally;Alleato;Allié;Aliado;同盟者
Hai;Акула;Tubarão;상어;鲨鱼;鯊魚;Shark;Squalo;Requin;Tiburón;サメ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Balloon;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Egel;Пиявка;Sanguessuga;거머리;蛭;蛭;Leech;Sanguisuga;Sangsue;Sanguijuela;ヒル
UNKNOWN;Друид;Druida;드루이드;德鲁伊;德魯伊;Druid;Druido;Druide;UNKNOWN;ドルイド
Schädling;Вредитель;Peste;UNKNOWN;害虫;害蟲;Pest;Peste;Parasite;Plaga;邪魔者
Ziege;Коза;Bode;염소;山羊;山羊;Goat;Capra;Chèvre;Cabra;ヤギ
Würmchen;Червь;Verme;지렁이;蠕虫;蠕蟲;Worm;Verme;Ver;Gusano;蟲
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Child;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Volver;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Kaito;Кайто;Kaito;카이토;魁渡;魁渡;Kaito;Kaito;Kaito;Kaito;魁渡
Stachel;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Spike;Pungiglione;Épix;Perforador;スパイク
Inkarnation;Инкарнация;Encarnação;현신;化身;化身;Incarnation;Incarnazione;Incarnation;Encarnación;インカーネーション
Kolbahan;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kolbahan;Kolbahan;Kolbahan;Kólbahan;コルバハン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;旗手;UNKNOWN;Flagbearer;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Ajani;Аджани;Ajani;아자니;阿耶尼;阿耶尼;Ajani;Ajani;Ajani;Ajani;アジャニ
Zwerg;Гном;Anão;드워프;矮人;矮人;Dwarf;Nano;Nain;Enano;ドワーフ
Arkan;Тайные_знания;Arcana;UNKNOWN;古咒;古咒;Arcane;Arcano;Arcane;Arcano;秘儀
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Hamster;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Lolth;Лолт;Lolth;롤스;罗丝;羅絲;Lolth;Lolth;Lolth;Lolth;ロルス
Slith;UNKNOWN;Slith;UNKNOWN;斯立兹;斯立茲;Slith;Slith;Slith;Slit;スリス
Kamel;Верблюд;Camelo;낙타;骆驼;駱駝;Camel;Cammello;Chameau;Camello;ラクダ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Tentacle;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Thibalt;Тибальт;Tibalt;티볼트;提勃;提勃;Tibalt;Tibalt;Tibalt;Tibalt;ティボルト
Vivien;Вивьен;Vivien;비비안;薇薇安;薇薇安;Vivien;Vivien;Vivien;Vivien;ビビアン
Soldat;Солдат;Soldado;병사;士兵;士兵;Soldier;Soldato;Soldat;Soldado;兵士
Kephalai;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kephalai;Kephalai;Kephalai;Kephalai;ケファライ
Remasuri;Щепка;Fractius;슬리버;裂片妖;裂片妖;Sliver;Tramutante;Slivoïde;Fragmentado;スリヴァー
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Scion;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Dihada;Дихада;Dihada;디하다;迪哈达;迪哈達;Dihada;Dihada;Dihada;Dihada;ディハーダ
Vedalken;Ведалкен;Vedalkeano;베달켄;维多肯;維多肯;Vedalken;Vedalken;Vedalken;Vedalken;ヴィダルケン
Krieger;Воин;Guerreiro;전사;战士;戰士;Warrior;Guerriero;Guerrier;Guerrero;戦士
Dachs;Барсук;Texugo;오소리;獾;獾;Badger;Tasso;Blaireau;Tejón;アナグマ
Phyrexia;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Phyrexia;Phyrexia;Phyrexia;Pirexia;ファイレクシア
Falle;Ловушка;Armadilha;UNKNOWN;陷阱;UNKNOWN;Trap;Trappola;Piège;Trampa;罠
Equilor;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Equilor;Equilor;Équilor;Equilor;エクィロー
Dominaria;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Dominaria;Dominaria;Dominaria;Dominaria;ドミナリア
UNKNOWN;Кор;UNKNOWN;코르;UNKNOWN;寇族;Kor;UNKNOWN;UNKNOWN;UNKNOWN;コー
Otter;Выдра;Lontra;수달;水獭;水獺;Otter;Lontra;Loutre;Nutria;カワウソ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Shard;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;Руна;UNKNOWN;룬;符文;UNKNOWN;Rune;Runa;UNKNOWN;UNKNOWN;ルーン
Ugin;Уджин;Ugin;우진;乌金;烏金;Ugin;Ugin;Ugin;Ugin;ウギン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Xerex;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Grist;Грист;Grist;그리스트;格蕊斯;格蕊斯;Grist;Grist;Grist;Grist;グリスト
Waldläufer;Лесничий;Patrulheiro;레인저;游侠;遊俠;Ranger;UNKNOWN;UNKNOWN;Guardabosque;レインジャー
Eldrazi;Эльдрази;Eldrazi;엘드라지;奥札奇;奧札奇;Eldrazi;Eldrazi;Eldrazi;Eldrazi;エルドラージ
Fluch;Проклятие;Maldição;저주;诅咒;詛咒;Curse;Anatema;Malédiction;Maldición;呪い
Pferd;Лошадь;Cavalo;말;马;馬;Horse;Cavallo;Cheval;Caballo;馬
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Germ;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Jared;UNKNOWN;Jared;UNKNOWN;贾瑞;UNKNOWN;Jared;Jared;Jared;Jared;ジャレッド
Kamigawa;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kamigawa;Kamigawa;Kamigawa;Kamigawa;神河
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Pincher;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Spawn;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Chandra;Чандра;Chandra;찬드라;茜卓;茜卓;Chandra;Chandra;Chandra;Chandra;チャンドラ
Ulgrotha;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Ulgrotha;Ulgrotha;Ulgrotha;Ulgrotha;ウルグローサ
Adliger;Аристократ;Nobre;귀족;贵族;貴族;Noble;Nobile;UNKNOWN;UNKNOWN;UNKNOWN
Schakal;Шакал;UNKNOWN;자칼;UNKNOWN;豺狼;Jackal;Sciacallo;Chacal;UNKNOWN;ジャッカル
Bold;Бес;Diabrete;임프;小恶魔;小惡魔;Imp;Imp;Diablotin;Diablillo;インプ
Oktopus;Спрут;Polvo;문어;章鱼;章魚;Octopus;Piovra;Pieuvre;Pulpo;タコ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;游牧人;UNKNOWN;Nomad;Nomade;UNKNOWN;Nómada;ノーマッド
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Performer;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Homunkulus;Гомункул;Homúnculo;호문쿨루스;造妖;造妖;Homunculus;Omuncolo;Homoncule;Homúnculo;ホムンクルス
Katze;Кошка;Felino;고양이;猫;貓;Cat;Felino;Chat;Felino;猫
Vogelscheuche;Пугало;Espantalho;허수아비;稻草人;稻草人;Scarecrow;Spaventapasseri;Épouvantail;Espantapájaros;カカシ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Prism;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Zubera;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schlange;Змей;Serpente;이무기;巨蛇;巨蛇;Serpent;Serpe;Grand serpent;Serpiente;海蛇
Zariel;Зариэль;Zariel;자리엘;扎瑞尔;扎瑞爾;Zariel;Zariel;Zariel;Zariel;ザリエル
Montagearbeiter;Рабочий-сборщик;UNKNOWN;조립공;组装工人;組裝工人;Assembly-Worker;Addetto-al-montaggio;Ouvrier spécialisé;Operario;組立作業員
Bär;Медведь;Urso;곰;熊;熊;Bear;Orso;Ours;Oso;熊
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Inkling;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Rowan;Рован;Rowan;로완;萝婉;蘿婉;Rowan;Rowan;Rowan;Rowan;ローアン
Cocatrisk;Куролиск;Cocatriz;코카트리스;石化鸡蛇;石化雞蛇;Cockatrice;Coccatrice;Cocatrix;Cocatriz;コカトリス
Dinosaurier;Динозавр;Dinossauro;공룡;恐龙;恐龍;Dinosaur;Dinosauro;Dinosaure;Dinosaurio;恐竜
Gnoll;Гнолл;Gnoll;놀;豺狼人;豺狼人;Gnoll;Gnoll;Gnoll;Gnoll;ノール
Krokodil;Крокодил;Crocodilo;악어;鳄鱼;鱷魚;Crocodile;Coccodrillo;Crocodile;Cocodrilo;クロコダイル
Thopter;Топтер;Tóptero;날틀;振翼机;振翼機;Thopter;Tottero;Mécanoptère;Tóptero;飛行機械
Werwolf;Вервольф;Lobisomem;늑대인간;狼人;UNKNOWN;Werewolf;Mannaro;Loup-garou;Licántropo;狼男
Jace;Джейс;Jace;제이스;杰斯;傑斯;Jace;Jace;Jace;Jace;ジェイス
Will;Уилл;Will;윌;威尔;威爾;Will;Will;Will;Will;ウィル
Insekt;Насекомое;Inseto;곤충;昆虫;昆蟲;Insect;Insetto;Insecte;Insecto;昆虫
Ei;Яйцо;Ovo;알;蛋;蛋;Egg;Uovo;Œuf;Huevo;卵
Frosch;Лягушка;Sapo;개구리;蛙;蛙;Frog;Rana;Grenouille;Rana;カエル
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Beeble;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
